original,second_part,noun_forms,lemma,genus,compound_forms,sim_words,wup_sim_words,related_words,hypernyms,definition,stem_cistem,stem_porter,stem_lancaster,stem_snowball,share_cistem,share_porter,share_lancaster,share_snowball,similar_words
Klimaabzockerei,Abzockerei,"['Abzockerei', 'Abzockereien']",Abzockerei,f,"['Klimaabzockerei', 'Klimaabzockereien']",[],[],"['Abzocke', 'Wucher', 'Geldschneiderei', 'Abzockerei', 'Geldmacherei', 'Profitmacherei', 'Beutelschneiderei']","['Zinssatz', 'Zinsfuß']",['der Akt des Stehlens'],abzockerei,abzockerei,abzockere,abzockerei,,,,,[]
Klimaaktivismus,Aktivismus,['Aktivismus'],Aktivismus,m,['Klimaaktivismus'],[],[],,,[],aktivismu,aktivismu,aktivism,aktivismus,,,,,[]
Klimaaktivist,Aktivist,"['Aktivist', 'Aktivisten']",Aktivist,m,"['Klimaaktivist', 'Klimaaktivisten']",[],"['demagoge', 'macher', 'milliardär']","['Aktivist', 'aktiver Mitarbeiter', 'politisch aktiver Mensch']","['Volksvertreter', 'Politiker']",['ein militanter Reformer'],aktivi,aktivist,akt,aktivist,,,,,[]
Klimaaktivistin,Aktivistin,"['Aktivistin', 'Aktivistinnen']",Aktivistin,f,"['Klimaaktivistin', 'Klimaaktivistinnen']",[],[],,,[],aktivisti,aktivistin,aktivistin,aktivistin,,,,,[]
Klimaalarm,Alarm,"['Alarme', 'Alarmes', 'Alarm', 'Alarmen', 'Alarms']",Alarm,m,"['Klimaalarme', 'Klimaalarmes', 'Klimaalarm', 'Klimaalarmen', 'Klimaalarms']",[],[],"['Alarmsignal', 'Warnton', 'Notruf', 'Alarm', 'Gefahrenmeldung', 'Alarmruf', 'Warnsignal']","['Gunst', 'Wohlwollen', 'Geneigtheit', 'Zugewandtheit', 'Gewogenheit', 'Huld']","['Angst, die sich aus dem Bewusstsein einer Gefahr ergibt']",alarm,alarm,alarm,alarm,,,"['alarm', 'alarmist']",,"['alarm', 'alarmist']"
Klimaalarmist,Alarmist,"['Alarmist', 'Alarmisten']",Alarmist,m,"['Klimaalarmist', 'Klimaalarmisten']",[],[],,,[],alarmi,alarmist,alarm,alarmist,,,"['alarm', 'alarmist']",,"['alarm', 'alarmist']"
Klimaanbeter,Anbeter,"['Anbeters', 'Anbetern', 'Anbeter']",Anbeter,m,"['Klimaanbeters', 'Klimaanbetern', 'Klimaanbeter']",[],['sektierer'],"['Bewunderer', 'Verehrer', 'Lover', 'Anbeter', 'Liebhaber']","['Repräsentant', 'Auslandsvertreter', 'Missionschef', 'Diplomat', 'Geschäftsträger', 'Konsul', 'Botschafter', 'diplomatischer Vertreter']",['ein leidenschaftlicher Anhänger und Verehrer'],anb,anbet,anbet,anbet,,,,,[]
Klimaapokalypse,Apokalypse,"['Apokalypse', 'Apokalypsen']",Apokalypse,f,"['Klimaapokalypse', 'Klimaapokalypsen']","['armageddon', 'untergang']","['armageddon', 'untergang']","['Ende', 'Apokalypse', 'Verderben', 'Unglück', 'Untergang', 'Abaddon', 'Zusammenbruch', 'Armageddon', 'Waterloo', 'Super-GAU', 'Abgrund']","['Offenbarung', 'Erscheinung', 'Phantom', 'Hirngespinst', 'Einbildung', 'Sinnestäuschung', 'Trugbild', 'Selbsttäuschung', 'Täuschung', 'Wahnvorstellung', 'Halluzination', 'Gesicht', 'Fata Morgana', 'Butterland', 'Illusion', 'Vision', 'Wahnbild', 'Hallu', 'Geisterbild', 'reizunabhängige Sinneswahrnehmung']","['Visionäre Beschreibung eines Zustandes, in dem die Welt nicht weiter besteht.', 'ein kosmischer Kataklysmus, bei dem Gott die herrschenden Mächte des Bösen vernichtet', 'eine erhellende oder erstaunliche Enthüllung']",apokalyp,apokalyps,apokalyps,apokalyps,,,,,"['armageddon', 'untergang']"
Klimaapokalyptiker,Apokalyptiker,"['Apokalyptikern', 'Apokalyptiker', 'Apokalyptikers']",Apokalyptiker,m,"['Klimaapokalyptikern', 'Klimaapokalyptiker', 'Klimaapokalyptikers']",[],[],,,[],apokalyptik,apokalyptik,apokalyptik,apokalypt,,,,,[]
Klimaapostel,Apostel,"['Apostels', 'Apostel', 'Aposteln']",Apostel,m,"['Klimaapostels', 'Klimaapostel', 'Klimaaposteln']",[],"['argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Jünger', 'einer der Zwölf', 'Apostel']",,"['(Neues Testament) einer der ursprünglichen 12 Jünger, die von Christus ausgewählt wurden, um sein Evangelium zu verkünden']",apostel,apostel,apostel,apostel,,,,,[]
