original,second_part,noun_forms,lemma,genus,compound_forms,related_words,hypernyms,roots,en_hypernyms,concept,definition,path,wup,stem_cistem,stem_porter,stem_lancaster,stem_snowball,share_cistem,share_porter,share_lancaster,share_snowball,dist_stemmer,similar_words,bert,blob,bert_related,blob_related
klimaabzockerei,abzockerei,"['abzockerei', 'abzockereien']",abzockerei,f,"['klimaabzockerei', 'klimaabzockereien']","['Abzocke', 'Geldschneiderei', 'Profitmacherei', 'Beutelschneiderei', 'Geldmacherei', 'Abzockerei', 'Wucher']","['Zinssatz', 'Zinsfuß']","['Zinssatz', 'Zinsfuß']","['robbery', 'stealing', 'thieving', 'theft', 'larceny', 'thievery', 'felony', 'criminal offence', 'law-breaking', 'criminal offense', 'crime', 'offence', 'offense', 'transgression', 'evildoing', 'wrongdoing', 'misconduct', 'wrongful conduct', 'actus reus', 'activity', 'human action', 'human activity', 'deed', 'act', 'event', 'abstraction', 'abstract entity', 'entity']",action,['der Akt des Stehlens'],[],[],abzockerei,abzockerei,abzockere,abzockerei,,,,,,[],negative,0.0,negative,0.0
klimaaktivismus,aktivismus,['aktivismus'],aktivismus,m,['klimaaktivismus'],[],[],[],,,[],[],[],aktivismu,aktivismu,aktivism,aktivismus,,,,,"['aktivismus', 'aktivist']","['aktivismus', 'aktivist']",positive,0.0,positive,0.0
klimaaktivist,aktivist,"['aktivisten', 'aktivist']",aktivist,m,"['klimaaktivisten', 'klimaaktivist']","['aktiver Mitarbeiter', 'Aktivist', 'politisch aktiver Mensch']","['Volksvertreter', 'Politiker']","['jemand', 'irgendjemand', 'jeder beliebige']","['reformer', 'meliorist', 'crusader', 'social reformer', 'reformist', 'disputant', 'eristic', 'controversialist', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'reformer', 'meliorist', 'crusader', 'social reformer', 'reformist', 'disputant', 'eristic', 'controversialist', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,['ein militanter Reformer'],[],"['demagoge', 'macher']",aktivi,aktivist,akt,aktivist,,,,,"['aktivist', 'aktivismus']","['demagoge', 'macher', 'aktivist', 'aktivismus']",positive,0.0,positive,0.6666666666666666
klimaaktivistin,aktivistin,"['aktivistinnen', 'aktivistin']",aktivistin,f,"['klimaaktivistinnen', 'klimaaktivistin']",[],[],[],,,[],[],[],aktivisti,aktivistin,aktivistin,aktivistin,,,,,"['aktivistin', 'aktivist']","['aktivistin', 'aktivist']",positive,0.0,positive,0.0
klimaalarm,alarm,"['alarms', 'alarmes', 'alarme', 'alarm', 'alarmen']",alarm,m,"['klimaalarms', 'klimaalarmes', 'klimaalarme', 'klimaalarm', 'klimaalarmen']","['Alarm', 'Notruf', 'Alarmruf', 'Warnton', 'Warnsignal', 'Gefahrenmeldung', 'Alarmsignal']","['Gunst', 'Geneigtheit', 'Wohlwollen', 'Gewogenheit', 'Huld', 'Zugewandtheit']","['Gunst', 'Wohlwollen', 'Geneigtheit', 'Zugewandtheit', 'Gewogenheit', 'Huld']","['fear', 'fearfulness', 'fright', 'emotion', 'feeling', 'state', 'attribute', 'abstraction', 'abstract entity', 'entity']",action,"['Angst, die sich aus dem Bewusstsein einer Gefahr ergibt']",[],[],alarm,alarm,alarm,alarm,,,"['alarm', 'alarmist']",,"['alarm', 'alarmist']","['alarm', 'alarmist', 'alarm', 'alarmist']",negative,0.0,negative,0.0
klimaalarmist,alarmist,"['alarmist', 'alarmisten']",alarmist,m,"['klimaalarmist', 'klimaalarmisten']",[],[],[],,,[],[],[],alarmi,alarmist,alarm,alarmist,,,"['alarm', 'alarmist']",,"['alarmist', 'alarm']","['alarm', 'alarmist', 'alarmist', 'alarm']",negative,0.0,negative,0.0
klimaanbeter,anbeter,"['anbeters', 'anbetern', 'anbeter']",anbeter,m,"['klimaanbeters', 'klimaanbetern', 'klimaanbeter']","['Lover', 'Verehrer', 'Bewunderer', 'Liebhaber', 'Anbeter']","['Diplomat', 'diplomatischer Vertreter', 'Repräsentant', 'Konsul', 'Botschafter', 'Missionschef', 'Auslandsvertreter', 'Geschäftsträger']","['jemand', 'irgendjemand', 'jeder beliebige']","['follower', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'follower', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,['ein leidenschaftlicher Anhänger und Verehrer'],[],['sektierer'],anb,anbet,anbet,anbet,,,,,,['sektierer'],negative,0.0,positive,0.0
klimaapokalypse,apokalypse,"['apokalypse', 'apokalypsen']",apokalypse,f,"['klimaapokalypse', 'klimaapokalypsen']","['Tag des jüngsten Gerichts', 'Waterloo', 'Super-GAU', 'Verderben', 'Götterdämmerung', 'Enthüllung', 'Armageddon', 'Ende der Welt', 'Apokalypse', 'Entschleierung', 'Weltuntergang', 'Offenbarung', 'Unglück', 'Ragnarök', 'Ende', 'Zusammenbruch', 'Weltende', 'Abgrund', 'Abaddon', 'Untergang']","['Hallu', 'Hausnummer', 'Fata Morgana', 'Geisterbild', 'Bereich', 'Einbildung', 'Illusion', 'Hirngespinst', 'Größenordnung', 'Zwielicht', 'Gesicht', 'ungefähre Größe', 'Halbdunkel', 'Trugbild', 'Phantom', 'Halluzination', 'Wahnbild', 'Butterland', 'Wahnvorstellung', 'Täuschung', 'Sinnestäuschung', 'Erscheinung', 'Selbsttäuschung', 'Offenbarung', 'reizunabhängige Sinneswahrnehmung', 'Anhaltspunkt', 'grobe Schätzung', 'Dämmerung', 'Vision']","['Offenbarung', 'Erscheinung', 'Phantom', 'Hirngespinst', 'Einbildung', 'Sinnestäuschung', 'Trugbild', 'Selbsttäuschung', 'Täuschung', 'Wahnvorstellung', 'Halluzination', 'Gesicht', 'Fata Morgana', 'Butterland', 'Illusion', 'Vision', 'Wahnbild', 'Hallu', 'Geisterbild', 'reizunabhängige Sinneswahrnehmung', 'Zwielicht', 'Halbdunkel', 'Dämmerung', 'Heilanzeige', 'Indikation']","['state', 'attribute', 'abstraction', 'abstract entity', 'entity']",action,"['Visionäre Beschreibung eines Zustandes, in dem die Welt nicht weiter besteht.', 'ein kosmischer Kataklysmus, bei dem Gott die herrschenden Mächte des Bösen vernichtet', 'eine erhellende oder erstaunliche Enthüllung']","['armageddon', 'untergang']","['armageddon', 'untergang']",apokalyp,apokalyps,apokalyps,apokalyps,,,,,"['apokalypse', 'apokalyptiker']","['armageddon', 'untergang', 'apokalypse', 'apokalyptiker']",positive,0.0,negative,-0.05
klimaapokalyptiker,apokalyptiker,"['apokalyptikers', 'apokalyptikern', 'apokalyptiker']",apokalyptiker,m,"['klimaapokalyptikers', 'klimaapokalyptikern', 'klimaapokalyptiker']",[],[],[],,,[],[],[],apokalyptik,apokalyptik,apokalyptik,apokalypt,,,,,"['apokalyptiker', 'apokalypse']","['apokalyptiker', 'apokalypse']",negative,0.0,negative,0.0
klimaapostel,apostel,"['apostel', 'apostels', 'aposteln']",apostel,m,"['klimaapostel', 'klimaapostels', 'klimaaposteln']","['Apostel', 'einer der Zwölf', 'Jünger']",[],[],"['adherent', 'disciple', 'follower', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'adherent', 'disciple', 'follower', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity', 'Christian', 'religious person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'Christian', 'religious person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,"['(Neues Testament) einer der ursprünglichen 12 Jünger, die von Christus ausgewählt wurden, um sein Evangelium zu verkünden']",[],[],apostel,apostel,apostel,apostel,,,,,,[],positive,0.0,positive,0.0
